Rnº,Tipo,Localización,Estado: (- / Espera / Reciclando / Listo / Desechado),Número catálogo si está listo,Procedencia
0,Pc,DONADO,Listo,180,Facultad de Odontología
1,Servidor,Almacén Oficina,Desechado,,Recogidas
2,Pc,DONADO,Listo,186,Barcelona
3,Pc,Almacén Oficina,Desechado,,Recogidas
4,Pc,Almacén Oficina,Desechado,,Recogidas
5,Pc,Almacén Oficina,Desechado,,Recogidas
6,Pc,DONADO,Listo,178,Recogidas
7,Pc,Almacén Oficina,Desechado,,Recogidas
8,Pc,DONADO,Listo,181,Recogidas
9,Portátil,DONADO,Listo,185,Barcelona
11,Pc,DONADO,Listo,179,Recogidas
12,Pc,DONADO,Listo,182,Facultad de Odontología
13,Pc,DONADO,Listo,176,Facultad de Odontología
14,Impresora,"Oficina, en uso",Listo,56,Facultad de Odontología
15,Impresora,Almacén oficina,-,,CENTRO DE ACTIVIDADES DEPORTIVAS
16,Impresora,Almacén oficina,Listo,58,CENTRO DE ACTIVIDADES DEPORTIVAS
17,Escaner,Almacén Oficina,Desechado,,CENTRO DE ACTIVIDADES DEPORTIVAS
18,Pc,Almacén Oficina,Listo,190,Palacio de la Madraza
19,Pc,DONADO,Listo,183,GABINETE DE RECURSOS HUMANOS Y ORGANIZACIÓN
20,Pc,DONADO,Listo,197,GABINETE DE RECURSOS HUMANOS Y ORGANIZACIÓN
21,Pc,DONADO,Listo,177,GABINETE DE RECURSOS HUMANOS Y ORGANIZACIÓN
23,Pc,DONADO,Desechado,187,San Jerónimo
24,Impresora,Almacén Oficina,Desechado,,Facultad de Filosofía
25,Portátil,Ofina,Espera,,Facultad de Filosofía
26,Pc,Almacén Oficina,Desechado,,Facultad de Filosofía
27,Pc,Almacén Oficina,Desechado,,Facultad de Filosofía
28,Pc,Almacén oficina,-,,Facultas de Filosofía y Letras
29,Impresora,Almacén oficina,-,,Facultas de Filosofía y Letras
30,Pc,Almacén Oficina,Listo,192,Facultad de Filosofía
31,Impresora,DONADO,Listo,59,Facultad de Filosofía
32,Portátil,DONADO,Listo,231,Facultad de Filosofía
33,Escaner,Almacén oficina,-,,Facultas de Filosofía y Letras
34,Escaner,Almacén oficina,-,,Facultas de Filosofía y Letras
